ticker,name
BTCUSD,Bitcoin
ETH-USD,Ethereum
USDT-USD,Tether
XRP-USD,XRP
SOL-USD,Solana
BNB-USD,BNB
DOGE-usd,Dogecoin
USDC-USD,USDC
ADA-USD,Cardano
STETH-USD,Lido Staked Ether
TRX-USD,TRON
AVAX-USD,Avalanche
SHIB-USD,Shiba Inu
TON-USD,Toncoin
WSTETH-USD,Wrapped stETH
LINK-USD,Chainlink
DOT-USD,Polkadot
WBTC-USD,Wrapped Bitcoin
XLM-USD,Stellar
SUI-USD,Sui
HBAR-USD,Hedera
BCH-USD,Bitcoin Cash
PEPE-USD,Pepe
WETH-USD,WETH
UNI-USD,Uniswap
LTC-USD,Litecoin
LEO-USD,LEO Token
NEAR-USD,NEAR Protocol
WEETH-USD,Wrapped eETH
APT-USD,Aptos
ICP-USD,Internet Computer
USDE-USD,Ethena USDe
HYPE-USD,Hyperliquid
POL-USD,POL (ex-MATIC)
USDS-USD,USDS
ETC-USD,Ethereum Classic
RENDER-USD,Render
CRO-USD,Cronos
FET-USD,Artificial Superintelligence Alliance
VET-USD,VeChain
AAVE-USD,Aave
BGB-USD,Bitget Token
TAO-USD,Bittensor
MNT-USD,Mantle
KAS-USD,Kaspa
ARB-USD,Arbitrum
FIL-USD,Filecoin
OM-USD,MANTRA
ALGO-USD,Algorand
WBT-USD,WhiteBIT Coin
STX-USD,Stacks
XMR-USD,Monero
FTM-USD,Fantom
DAI-USD,Dai
ATOM-USD,Cosmos Hub
OKB-USD,OKB
TIA-USD,Celestia
IMX-USD,Immutable
WIF-USD,dogwifhat
BONK-USD,Bonk
OP-USD,Optimism
ENA-USD,Ethena
INJ-USD,Injective
GRT-USD,The Graph
THETA-USD,Theta Network
ONDO-USD,Ondo
SOS-USD,Solana Swap
SEI-USD,Sei
FLOKI-USD,FLOKI
WLD-USD,Worldcoin
WETH-USD,Binance-Peg WETH
RUNE-USD,THORChain
GALA-USD,GALA
JASMY-USD,JasmyCoin
QNT-USD,Quant
CBBTC-USD,Coinbase Wrapped BTC
RETH-USD,Rocket Pool ETH
BEAM-USD,Beam
SAND-USD,The Sandbox
VIRTUAL-USD,Virtuals Protocol
BRETT-USD,Brett
RSETH-USD,Kelp DAO Restaked ETH
METH-USD,Mantle Staked Ether
FDUSD-USD,First Digital USD
LDO-USD,Lido DAO
MKR-USD,Maker
EOS-USD,EOS
FLR-USD,Flare
RAY-USD,Raydium
KAIA-USD,Kaia
KCS-USD,KuCoin
PYTH-USD,Pyth Network
MOVE-USD,Movement
GT-USD,Gate
EZETH-USD,Renzo Restaked ETH
AR-USD,Arweave
JUP-USD,Jupiter
FLOW-USD,Flow
XTZ-USD,Tezos
AERO-USD,Aerodrome Finance